K;FD;DET;;
311 VD6.3;311 D14;560;;
311 VD7.1;311 D15;55;;
311 VD8.1;311 D16;549;;
311 VD8.2;311 D17;548;;
312 D1;312 D12;1644;;
312 D2;312 D13;162;;
312 VD1.1;312 D1;1622;;
312 VD1.2;312 D2;1619;;
312 VD2.1;312 D3;1645;;
312 VD2.2;312 D4;163;;
312 VD3.1;312 D5;1620;;
312 VD3.2;312 D6;1646;;
312 VD4.1;312 D7;1621;;
312 VD4.2;312 D8;1480;;
312 VD4.3;312 D9;1185;;
312 VD5.1;312 D10;1632;;
312 VD5.2;312 D11;164;;
313 VD1.1;313 D1;535;;
313 VD1.2;313 D2;534;;
313 VD2.1;313 D3;533;;
313 VD2.2;313 D4;534;;
314 VD1.1;314 D1;530;;
314 VD1.2;314 D2;53;;
314 VD2.1;314 D3;529;;
314 VD2.2;314 D4;528;;
314 VD3.1;314 D5;527;;
314 VD4.1;314 D6;526;;
314 VD5.1;314 D7;525;;
315 VD1.1;315 D1;523;;
315 VD1.2;315 D2;522;;
315 VD2.1;315 D3;521;;
315 VD3.1;315 D4;520;;
315 VD3.2;315 D5;52;;
315 VD4.1;315 D6;519;;
315 VD4.2;315 D7;518;;
315 VD5.1;315 D8;517;;
315 VD5.2;315 D9;516;;
315 VD6.1;315 D10;515;;
315 VD6.2;315 D11;514;;
317 VD1.1;317 D1;505;;
317 VD1.2;317 D2;502;;
317 VD2.1;317 D3;503;;
317 VD2.2;317 D4;502;;
318 VD1.1;318 D1;500;;
318 VD1.2;318 D2;50;;
318 VD2.1;318 D3;5;;
318 VD2.2;318 D4;499;;
319 D3;319 D5;493;;
319 D4;319 D6;492;;
319 VD1.1;319 D1;497;;
319 VD1.2;319 D2;496;;
319 VD2.1;319 D3;495;;
319 VD2.2;319 D4;494;;
320 VD1.1;320 D1;49;;
320 VD1.2;320 D2;489;;
320 VD2.1;320 D3;488;;
320 VD2.2;320 D4;487;;
320 VD3.1;320 D5;486;;
320 VD4.1;320 D6;485;;
321 VD1.1;321 D1;483;;
321 VD1.2;321 D2;482;;
321 VD2.1;321 D3;481;;
321 VD2.2;321 D4;480;;
351 D1;351 D1;1200;;
